tam_buffer,taxa_transferencia(s),bytes_recebidos_total,tempo_gasto, arquivo
256,123255.2366,39719,0.002578,carrancas
512,144236.0418,39719,0.002203,carrancas
1024,198595.0000,39719,0.00160,carrancas
2048,356624.0180,39719,0.000891,carrancas
256,246.1538,2,0.000065,audio
512,250.0000,2,0.000064,audio
1024,1066.6667,2,0.000015,audio
2048,258.0645,2,0.000062,audio
256,447036.3951,128970,0.002308,palavras
512,254629.8124,128970,0.004052,palavras
1024,345301.2048,128970,0.002988,palavras
2048,325373.6991,128970,0.003171,palavras
256,789537.5813,10211583,0.103469,matematica_discreta
512,1060310.2562,10211583,0.077046,matematica_discreta
1024,971248.2791,10211583,0.084111,matematica_discreta
2048,591851.4515,10211583,0.138029,matematica_discreta
256,336923.1278,509512,0.012098,video
512,384174.9293,509512,0.010610,video
1024,314465.0517,509512,0.012962,video
2048,342817.1573,509512,0.011890,video




